PM,global_season_score,count
20222TM,0.0,85
20192TM,0.0,80
20252TM,0.0,77
20112TM,0.0,76
20212TM,0.0,72
20242TM,0.0,71
20232TM,0.0,70
20152TM,0.0,69
20092TM,0.0,64
20082TM,0.0,62
20102TM,0.0,62
20042TM,0.0,61
20142TM,0.0,60
20202TM,0.0,58
19972TM,0.0,56
20052TM,0.0,56
20182TM,0.0,54
19982TM,0.0,51
20172TM,0.0,50
20162TM,0.0,48
20062TM,0.0,48
20132TM,0.0,46
20012TM,0.0,45
20122TM,0.0,35
2024MEM,0.0,33
19992TM,0.0,32
2024DET,0.0,31
2021HOU,0.0,30
20022TM,0.0,30
2025PHI,0.0,30
2024TOR,0.0,30
20072TM,0.0,29
2022WAS,0.0,29
2022MIL,0.30434782608695654,29
2016MEM,0.0,28
2024PHI,0.0,28
2022BOS,0.6086956521739131,28
2019MEM,0.0,28
2021ORL,0.0,28
2022IND,0.0,28
2022DET,0.0,27
2022POR,0.0,27
2019CLE,0.0,27
1997DAL,0.0,27
2025CHO,0.0,27
2021BRK,0.34782608695652173,27
20002TM,0.0,27
2022DAL,0.34782608695652173,27
2017NOP,0.0,26
2024CHO,0.0,26
2022OKC,0.0,26
2019PHI,0.30434782608695654,26
2022SAC,0.0,26
20032TM,0.0,26
2022CLE,0.0,26
2024NYK,0.34782608695652173,26
2025NOP,0.0,25
2015MIN,0.0,25
2025SAC,0.0,25
2015PHI,0.0,25
2022LAL,0.0,25
2023BRK,0.0,25
2021CLE,0.0,25
2019WAS,0.0,25
2020MIN,0.0,24
2022SAS,0.0,24
2022BRK,0.0,24
2022ATL,0.0,24
2004POR,0.0,24
2023LAL,0.21739130434782608,24
2021SAC,0.0,24
2023POR,0.0,24
2025LAL,0.0,24
2025DAL,0.0,24
2009CHA,0.0,24
2018HOU,0.4782608695652174,24
2017DAL,0.0,24
2020BRK,0.0,24
2025BRK,0.0,24
2024WAS,0.0,24
2019PHO,0.0,24
2019MIL,0.4782608695652174,24
2022UTA,0.0,24
2018MIL,0.0,24
2018MEM,0.0,24
2018LAL,0.0,24
2010WAS,0.0,24
2025WAS,0.0,24
1998TOR,0.0,24
2020WAS,0.0,23
2023WAS,0.0,23
2018PHI,0.30434782608695654,23
1997DEN,0.0,23
2001ATL,0.0,23
2011WAS,0.0,23
2019HOU,0.2608695652173913,23
2019NYK,0.0,23
2004ATL,0.0,23
2009NYK,0.0,23
2020SAC,0.0,23
2008CLE,0.2608695652173913,23
1997NJN,0.0,23
2023UTA,0.0,23
2013DAL,0.0,23
2021PHI,0.391304347826087,23
2023SAS,0.0,23
1999NJN,0.0,23
2022LAC,0.0,23
2022MEM,0.34782608695652173,23
2005HOU,0.0,23
2022NYK,0.0,23
2022PHI,0.2608695652173913,23
2022PHO,0.391304347826087,23
2004TOR,0.0,23
2022TOR,0.0,23
1997PHO,0.0,23
2025GSW,0.13043478260869565,23
2023DAL,0.0,23
2000GSW,0.0,23
2025MIL,0.0,23
2018NOP,0.17391304347826086,23
2016PHO,0.0,23
2025LAC,0.0,23
2025TOR,0.0,23
2018DAL,0.0,23
2015PHO,0.0,23
2014SAC,0.0,23
2014PHI,0.0,23
2021MIL,0.9130434782608695,22
2018BRK,0.0,22
1998GSW,0.0,22
2021OKC,0.0,22
2025IND,0.0,22
2021DEN,0.0,22
2021CHI,0.0,22
2008MIA,0.0,22
2024IND,0.0,22
2024DAL,0.4782608695652174,22
2021TOR,0.0,22
2018ATL,0.0,22
2020DET,0.0,22
2015BOS,0.0,22
2022CHI,0.0,22
2022DEN,0.0,22
2005NOH,0.0,22
2005NJN,0.0,22
2022MIA,0.4782608695652174,22
2022NOP,0.0,22
2022ORL,0.0,22
2015UTA,0.0,22
2004NYK,0.0,22
2023DET,0.0,22
2020GSW,0.0,22
1998ORL,0.0,22
2011TOR,0.0,22
2024OKC,0.391304347826087,22
2001GSW,0.0,22
2019ATL,0.0,22
2012NJN,0.0,22
2019LAC,0.0,22
2011NJN,0.0,22
2019LAL,0.0,22
1998PHI,0.0,22
2012NOH,0.0,22
2024POR,0.0,22
2024PHO,0.0,22
2019CHI,0.0,22
2025CHI,0.0,22
2018DET,0.0,22
2018PHO,0.0,22
2019TOR,0.9565217391304348,22
2018CLE,0.5217391304347826,22
2016NOP,0.0,21
2015NOP,0.0,21
2004CHI,0.0,21
2018NYK,0.0,21
2004CLE,0.0,21
2015OKC,0.0,21
2017CLE,0.6086956521739131,21
2012WAS,0.0,21
2004ORL,0.0,21
1997TOR,0.0,21
